serial #,market code,vessel ID,landing year,fbus ID,reported catch lbs,unit price,gear code,origin code,port code,land date - month,land date - day,fish_lic
A002211,752,9613,1984,2365,7595,0,15,1040,223,11,1,
A002223,752,37473,1984,2365,2425,0,15,200,223,12,7,
A000753,752,30511,1984,4817,260,0.3,15,400,452,9,29,
F183748,752,36082,1984,9999,177,0.3,15,719,770,10,5,
F183748,752,36082,1984,9999,197,0.1,15,719,770,10,5,
F183749,752,36082,1984,9999,267,0.28,15,719,770,10,5,
F183749,752,36082,1984,9999,180,0.05,15,719,770,10,5,
F183750,752,36082,1984,9999,205,0.26,15,719,770,10,16,
F179701,752,22458,1984,9999,120,0.3,15,472,452,3,29,
F181327,752,37444,1984,9999,2,0,15,526,550,2,12,
F181601,752,31318,1984,9999,18,1,15,478,593,5,8,
F181602,752,31318,1984,9999,40,0.89,15,478,211,8,19,
F181603,752,31318,1984,9999,55,1.1,15,478,593,8,19,
F181604,752,31318,1984,9999,20,1,15,478,550,8,20,
F181605,752,31318,1984,9999,25,0.8,15,478,550,8,20,
F182218,752,37952,1984,9999,252,2.951,15,720,744,1,3,
F182220,752,37952,1984,9999,125,3.5,15,720,744,1,12,
F182221,752,37952,1984,9999,180,3.23,15,720,744,1,17,
F182223,752,37952,1984,9999,60,10,15,720,744,2,8,
F182224,752,37952,1984,9999,45,8.333,15,720,744,2,15,
F182225,752,37952,1984,9999,15,10,15,720,744,2,17,
F182226,752,37952,1984,9999,30,6.667,15,720,744,2,24,
F182227,752,37952,1984,9999,45,5,15,720,744,3,1,
F182229,752,37952,1984,9999,30,7.5,15,703,744,3,15,
F182230,752,37952,1984,9999,30,10,15,703,776,3,19,
F182231,752,37952,1984,9999,50,9,15,703,776,3,26,
F209355,752,38592,1984,9999,100,1.25,15,719,742,12,9,
F209367,752,38592,1984,9999,100,1.25,15,719,742,12,27,
F196302,752,36110,1984,9999,50,1,15,720,742,2,6,
F196314,752,36110,1984,9999,200,1,15,720,742,2,17,
F196565,752,36110,1984,9999,6,2,15,719,742,6,11,
F187501,752,33194,1984,9999,80,0.65,15,860,880,1,24,
F187502,752,33194,1984,9999,40,0.65,15,860,880,2,1,
F187503,752,33194,1984,9999,30,0.65,15,860,880,2,12,
F187507,752,33194,1984,9999,4016,0.65,15,829,880,3,6,
F187508,752,33194,1984,9999,60,0.65,15,860,880,3,13,
F187509,752,33194,1984,9999,810,0.55,15,860,880,3,13,
F198655,752,33194,1984,9999,2440,0,15,757,767,10,10,
F198657,752,33194,1984,9999,1355,0,15,700,767,10,12,
F198663,752,33194,1984,9999,1655,0,15,757,767,10,26,
F198664,752,33194,1984,9999,1690,0,15,757,767,10,30,
F198665,752,33194,1984,9999,1740,0,15,757,767,10,31,
F198667,752,33194,1984,9999,750,0,15,757,767,11,2,
F198668,752,33194,1984,9999,2105,0,15,757,767,11,6,
F198669,752,33194,1984,9999,980,0,15,757,767,11,9,
F198670,752,33194,1984,9999,1445,0,15,757,767,11,16,
F198671,752,33194,1984,9999,780,0,15,757,767,11,23,
F198672,752,33194,1984,9999,1065,0,15,757,767,11,24,
F198674,752,33194,1984,9999,1955,0,15,757,767,11,27,
F198675,752,33194,1984,9999,1020,0,15,757,767,11,28,
F189103,752,15107,1984,9999,120,0,15,860,880,6,27,
F189111,752,33194,1984,9999,830,0,15,757,767,10,17,
F189113,752,33194,1984,9999,1650,0,15,757,767,12,4,
F189114,752,33194,1984,9999,1850,0,15,757,767,12,6,
F189115,752,33194,1984,9999,540,0,15,757,767,12,7,
F189117,752,33194,1984,9999,1015,0,15,757,767,12,11,
F189118,752,33194,1984,9999,1220,0,15,757,767,12,12,
F189139,752,33194,1984,9999,410,0,15,860,880,7,24,
F189142,752,33194,1984,9999,1370,0,15,860,880,6,24,
F189148,752,14974,1984,9999,1020,0,15,860,880,6,27,
F189149,752,33194,1984,9999,1590,0,15,860,880,7,25,
F232618,752,36110,1984,9999,200,1,15,720,742,5,25,
F232639,752,36110,1984,9999,100,1.5,15,720,742,6,12,
F205827,752,29947,1984,9999,610,0,15,860,880,9,13,
F205828,752,29947,1984,9999,710,0,15,860,880,9,12,
F205829,752,29947,1984,9999,920,0,15,800,880,9,17,
F205830,752,29947,1984,9999,1080,0,15,860,880,9,18,
F205832,752,29947,1984,9999,1020,0,15,860,880,9,19,
F205833,752,29947,1984,9999,450,0,15,860,880,9,20,
F205834,752,29947,1984,9999,500,0,15,860,880,9,24,
F205835,752,29947,1984,9999,800,0,15,860,880,9,26,
F205836,752,29947,1984,9999,600,0,15,860,880,9,26,
F205837,752,29947,1984,9999,500,0,15,860,880,9,27,
F205838,752,29947,1984,9999,650,0,15,860,880,10,3,
F205839,752,29947,1984,9999,800,0,15,860,880,10,9,
F205840,752,29947,1984,9999,600,0,15,860,880,10,10,
F205841,752,29947,1984,9999,950,0,15,860,880,10,11,
F205842,752,29947,1984,9999,1150,0,15,860,883,10,16,
F205843,752,29947,1984,9999,1100,0,15,860,880,10,17,
F205844,752,29947,1984,9999,1150,0,15,860,880,10,19,
F205845,752,29947,1984,9999,1650,0,15,860,880,10,22,
F205846,752,29947,1984,9999,1300,0,15,860,880,10,22,
F205847,752,29947,1984,9999,1200,0,15,860,880,10,24,
F205848,752,29947,1984,9999,1350,0,15,860,880,10,25,
F205849,752,29947,1984,9999,1250,0,15,860,880,10,29,
F205850,752,29947,1984,9999,1200,0,15,860,880,10,30,
F206192,752,26049,1984,9999,460,0,15,860,880,10,11,
F206851,752,38695,1984,9999,100,0,15,860,767,11,2,
F206852,752,38695,1984,9999,500,0,15,860,767,11,9,
