serial #,market code,vessel ID,landing year,fbus ID,reported catch lbs,unit price,gear code,origin code,port code,land date - month,land date - day,fish_lic
S312397,752,10000,1980,7759,1520,0.22,15,700,770,11,24,
S312398,752,30009,1980,7759,1650,0.22,15,700,770,11,24,
S312399,752,32433,1980,7759,4340,0.21,15,700,770,11,24,
S312400,752,10000,1980,7759,2060,0.22,15,700,770,11,28,
S312249,752,19405,1980,7759,1620,0.22,15,700,770,11,13,
S312250,752,32433,1980,7759,7420,0.21,15,700,770,11,14,
S312251,752,23693,1980,7759,710,0.22,15,700,770,11,14,
S312252,752,30009,1980,7759,2090,0.22,15,700,770,11,14,
S312253,752,19405,1980,7759,670,0.22,15,700,770,11,14,
S312254,752,35605,1980,7759,1050,0.22,15,700,745,11,15,
S312255,752,10000,1980,7759,760,0.22,15,700,745,11,15,
S312256,752,10000,1980,7759,1120,0.22,15,700,770,11,17,
S312258,752,35605,1980,7759,2170,0.22,15,700,770,11,17,
S312259,752,19405,1980,7759,2290,0.2,15,700,770,11,19,
S312260,752,18889,1980,7759,1080,0.15,15,700,748,11,19,
S312261,752,32433,1980,7759,1900,0.21,15,700,770,11,19,
S312262,752,35605,1980,7759,1400,0.22,15,700,770,11,19,
S312263,752,32505,1980,7759,2260,0.21,15,700,770,11,20,
S312264,752,30009,1980,7759,3600,0.21,15,700,770,11,20,
S312265,752,33202,1980,7759,4280,0.19,15,690,611,11,20,
S312266,752,32507,1980,7759,1540,0.22,15,687,611,11,20,
S312267,752,35125,1980,7759,4050,0.21,15,711,611,11,20,
S312268,752,31547,1980,7759,2320,0.22,15,711,611,11,20,
S312269,752,35518,1980,7759,4090,0.21,15,687,611,11,20,
S312270,752,21604,1980,7759,2700,0.21,15,657,611,11,20,
S312271,752,35125,1980,7759,2630,0.22,15,711,611,11,21,
S312272,752,33980,1980,7759,4620,0.21,15,690,611,11,21,
S312273,752,33963,1980,7759,2380,0.17,15,711,611,11,21,
S312274,752,31547,1980,7759,2990,0.22,15,711,611,11,21,
S312275,752,35518,1980,7759,5040,0.21,15,711,611,11,23,
S312276,752,33719,1980,7759,1700,0.21,15,690,611,11,24,
S312277,752,34398,1980,7759,6630,0.22,15,710,611,11,24,
S312278,752,32507,1980,7759,2160,0.22,15,654,611,11,28,
S312279,752,20785,1980,7759,5160,0.21,15,690,611,11,28,
S312280,752,21604,1980,7759,2240,0.21,15,657,611,11,28,
S312281,752,35125,1980,7759,3820,0.21,15,690,611,11,28,
S312282,752,31547,1980,7759,2110,0.19,15,690,611,11,28,
S312283,752,30009,1980,7759,1740,0.22,15,700,770,11,28,
S312284,752,33922,1980,7759,1605,0.21,15,700,770,11,28,
