serial #,market code,vessel ID,landing year,fbus ID,reported catch lbs,unit price,gear code,origin code,port code,land date - month,land date - day,fish_lic
U002301,752,0,1982,4999,191,0.25,15,211,268,4,24,
U002303,752,36814,1982,4999,300,0.25,15,268,268,5,31,
U002304,752,36814,1982,4999,95,0.25,15,268,268,5,29,
T070160,752,11365,1982,4378,58,0.35,15,400,473,6,28,
S452752,752,19634,1982,6438,860,0.23,15,563,611,12,28,
S452753,752,32507,1982,6438,1340,0.22,15,689,611,12,28,
S452754,752,35613,1982,6438,6660,0.22,15,710,611,12,28,
S452755,752,20808,1982,6438,4780,0.22,15,689,611,12,28,
S452756,752,24032,1982,6438,4600,0.22,15,600,611,12,28,
S452757,752,34512,1982,6438,2040,0.12,15,689,611,12,28,
S452758,752,35618,1982,6438,1080,0.23,15,712,611,12,29,
S452759,752,30568,1982,6438,3260,0.23,15,689,611,12,29,
S452760,752,19634,1982,6438,1060,0.23,15,567,611,12,29,
S452761,752,33980,1982,6438,1500,0.22,15,712,611,12,29,
S452762,752,35613,1982,6438,5720,0.21,15,689,611,12,29,
S452763,752,33849,1982,6438,6200,0.19,15,600,611,12,29,
S452764,752,23287,1982,6438,1480,0.17,15,690,611,12,29,
S452765,752,24032,1982,6438,1020,0.22,15,689,611,12,30,
S452766,752,33980,1982,6438,2120,0.22,15,712,611,12,30,
S452767,752,35618,1982,6438,2800,0.22,15,689,611,12,30,
S452768,752,35613,1982,6438,4640,0.21,15,690,611,12,30,
S452769,752,19634,1982,6438,3020,0.22,15,710,611,12,30,
S452770,752,32507,1982,6438,2540,0.22,15,712,611,12,30,
S452771,752,23029,1982,6438,3620,0.22,15,689,611,12,30,
S452772,752,20808,1982,6438,2020,0.17,15,689,611,12,30,
S452701,752,35613,1982,6438,4680,0,15,600,611,11,15,
S452702,752,35613,1982,6438,6040,0,15,600,611,11,23,
S452703,752,35618,1982,6438,3800,0,15,600,611,11,23,
S452704,752,24032,1982,6438,4560,0,15,600,611,11,23,
S452705,752,19634,1982,6438,3300,0,15,600,611,11,19,
S452706,752,35613,1982,6438,4880,0,15,600,611,11,19,
S452707,752,21941,1982,6438,2300,0,15,600,611,11,19,
S452708,752,35613,1982,6438,2000,0,15,690,611,12,4,
S452709,752,33980,1982,6438,2060,0.25,15,710,611,12,5,
S452710,752,19634,1982,6438,2500,0,15,690,611,12,5,
S452712,752,35613,1982,6438,3680,0,15,653,611,12,6,
S452713,752,24032,1982,6438,5300,0.23,15,690,611,12,6,
S452714,752,35613,1982,6438,1860,0,15,686,611,12,7,
S452715,752,24032,1982,6438,2140,0,15,563,611,12,8,
S452716,752,33980,1982,6438,3060,0,15,710,611,12,10,
S452717,752,19634,1982,6438,2960,0,15,690,611,12,10,
S452718,752,23029,1982,6438,2160,0.23,15,711,611,12,10,
S452719,752,35613,1982,6438,6440,0,15,690,611,12,10,
S452720,752,24032,1982,6438,2300,0,15,690,611,12,10,
S452721,752,35618,1982,6438,2480,0,15,689,611,12,10,
S452736,752,30568,1982,6438,2900,0.23,15,710,611,12,20,
S452737,752,37421,1982,6438,1780,0.22,15,710,611,12,19,
S452738,752,30568,1982,6438,2240,0.22,15,690,611,12,20,
S452739,752,35613,1982,6438,2040,0.2,15,689,611,12,20,
S452740,752,20808,1982,6438,1320,0.21,15,600,611,12,20,
S452741,752,26072,1982,6438,2380,0.25,15,710,611,12,21,
S452742,752,32507,1982,6438,1320,0.25,15,654,611,12,21,
S452743,752,23753,1982,6438,6120,0.25,15,690,611,12,21,
S452744,752,24032,1982,6438,3380,0.2,15,710,611,12,21,
S452751,752,30568,1982,6438,3560,0.24,15,689,611,12,28,
S452556,752,9879,1982,7990,48,0.15,15,700,770,11,26,
S424705,752,0,1982,7244,470,0.5,15,720,770,12,31,
S424654,752,0,1982,7244,345,0.35,15,720,770,12,10,
S416163,752,33230,1982,7759,2980,0.17,15,689,611,10,10,
S416164,752,33719,1982,7759,6120,0.17,15,690,611,10,10,
S416165,752,32857,1982,7759,2640,0.17,15,710,611,10,11,
S416166,752,34686,1982,7759,3720,0.17,15,690,611,10,11,
S416167,752,33719,1982,7759,8160,0.17,15,690,611,10,12,
S416168,752,33230,1982,7759,4550,0.17,15,690,611,10,12,
S416169,752,36282,1982,7759,2000,0.17,15,656,611,10,13,
S416170,752,34189,1982,7759,780,0.17,15,600,611,10,13,
S416171,752,21917,1982,7759,4760,0.17,15,689,611,10,13,
S416172,752,33230,1982,7759,5320,0.17,15,690,611,10,13,
S416173,752,35518,1982,7759,8140,0.17,15,712,611,10,15,
S416174,752,35978,1982,7759,1160,0.17,15,653,611,10,18,
S416175,752,33719,1982,7759,4820,0.17,15,690,611,10,18,
S416176,752,33230,1982,7759,2440,0.17,15,690,611,10,19,
S416178,752,34686,1982,7759,6320,0.17,15,690,611,10,19,
S416179,752,33719,1982,7759,9580,0.17,15,689,611,10,20,
S416180,752,30839,1982,7759,4920,0.17,15,655,611,10,21,
S416181,752,32507,1982,7759,2620,0.17,15,710,611,10,21,
