serial #,market code,vessel ID,landing year,fbus ID,reported catch lbs,unit price,gear code,origin code,port code,land date - month,land date - day,fish_lic
A003163,752,37725,1985,5711,150,0.4,15,1037,593,2,2,
A003171,752,37725,1985,5711,200,0.4,15,1037,550,2,14,
A001218,752,22458,1985,4815,315,0.2,15,400,440,2,25,
A005270,752,9613,1985,2365,5395,0,15,200,223,1,13,
A005290,752,9613,1985,2365,4275,0,15,1040,223,1,4,
A005303,752,9613,1985,2365,7005,0,15,1040,223,1,25,
A005304,752,28454,1985,2365,1120,0,15,1040,223,2,6,
A005307,752,9613,1985,2365,3030,0,15,1040,223,3,10,
A005308,752,9613,1985,2365,2160,0,15,1040,223,3,15,
A005309,752,9613,1985,2365,3720,0,15,1040,223,3,13,
A005310,752,9613,1985,2365,2262,0,15,1040,223,2,3,
A005311,752,9613,1985,2365,4565,0,15,200,223,2,4,
A005312,752,9613,1985,2365,2740,0,15,200,223,2,5,
A005313,752,9613,1985,2365,3835,0,15,200,223,2,6,
A005314,752,9613,1985,2365,1120,0,15,200,223,2,6,
A005315,752,9613,1985,2365,1270,0,15,200,223,2,10,
A005316,752,9613,1985,2365,3760,0,15,200,223,2,11,
A005317,752,9613,1985,2365,4605,0,15,200,223,2,12,
A005318,752,9613,1985,2365,471,0,15,200,223,2,13,
A005319,752,9613,1985,2365,3330,0,15,200,223,2,14,
A005320,752,9613,1985,2365,1805,0,15,200,223,2,15,
A005321,752,9613,1985,2365,3065,0,15,200,223,2,17,
A005322,752,9613,1985,2365,3640,0,15,200,223,2,18,
A005323,752,9613,1985,2365,3825,0,15,200,223,2,20,
A005324,752,9613,1985,2365,3780,0,15,200,223,2,23,
A005325,752,9613,1985,2365,1665,0,15,200,223,2,24,
A005327,752,9613,1985,2365,1960,0,15,1040,223,3,16,
A005328,752,9613,1985,2365,6285,0,15,200,223,2,28,
A005329,752,9613,1985,2365,2990,0,15,200,223,3,7,
A005330,752,9613,1985,2365,6390,0,15,200,223,3,8,
A005331,752,9613,1985,2365,995,0,15,200,223,3,9,
A005332,752,9613,1985,2365,3030,0,15,200,223,3,10,
A005333,752,9613,1985,2365,2255,0,15,200,223,3,11,
A005334,752,9613,1985,2365,4750,0,15,1040,223,3,20,
A005335,752,9613,1985,2365,3410,0,15,1040,223,3,22,
A005336,752,9613,1985,2365,3225,0,15,1040,223,3,23,
A005337,752,9613,1985,2365,640,0,15,1040,223,3,30,
A005338,752,9613,1985,2365,4440,0,15,1040,223,4,1,
A005339,752,9613,1985,2365,5755,0,15,1040,223,4,2,
A005340,752,9613,1985,2365,6340,0,15,1040,223,4,3,
A005341,752,9613,1985,2365,6640,0,15,1040,223,4,6,
A005342,752,9613,1985,2365,10720,0,15,1040,223,4,7,
A005343,752,9613,1985,2365,6805,0,15,1040,223,4,7,
A005344,752,9613,1985,2365,5110,0,15,1040,223,4,8,
A005345,752,9613,1985,2365,7310,0,15,1040,223,4,9,
A005346,752,9613,1985,2365,3185,0,15,1040,223,4,10,
A005347,752,37473,1985,2365,1575,0,15,1040,223,4,16,
A005348,752,37473,1985,2365,1445,0,15,1040,223,4,18,
A005349,752,37473,1985,2365,2335,0,15,1040,223,4,22,
A005350,752,37473,1985,2365,2275,0,15,1040,223,4,23,
A007457,752,26355,1985,4817,350,0,15,1038,452,2,11,
A007466,752,36330,1985,4817,55,0.45,15,400,452,2,28,
A008676,752,15004,1985,2604,2058.4,0.075,15,1040,223,2,27,
A008677,752,15004,1985,2604,282,0.14,15,1040,223,2,28,
A008678,752,28454,1985,2604,1170,0.118,15,1040,223,3,4,
A008679,752,28454,1985,2604,2378,0.962,15,1040,223,3,8,
A008680,752,28454,1985,2604,442,0.962,15,1040,223,3,9,
A008681,752,28454,1985,2604,2020,0.128,15,1040,223,3,10,
A008682,752,28454,1985,2604,2782,0.115,15,1040,223,3,11,
A008683,752,12141,1985,2604,270,0.046,15,1040,223,3,13,
A008684,752,12141,1985,2604,220,0.059,15,1040,223,3,16,
